Array_size,Time,Times_to_run,Element_size_range
100,1.035928726196289,3,1000
200,7.699251174926758,3,1000
300,9.887456893920898,3,1000
400,9.60087776184082,3,1000
500,8.2244873046875,3,1000
600,22.194862365722656,3,1000
700,21.88420295715332,3,1000
800,17.000675201416016,3,1000
900,11.251688003540039,3,1000
1000,10.400056838989258,3,1000
1100,17.522573471069336,3,1000
1200,18.38397979736328,3,1000
1300,16.26873016357422,3,1000
1400,16.237258911132812,3,1000
1500,16.217470169067383,3,1000
1600,18.5394287109375,3,1000
1700,22.228479385375977,3,1000
1800,30.251741409301758,3,1000
1900,23.891448974609375,3,1000
2000,30.9445858001709,3,1000
2100,41.046142578125,3,1000
2200,32.88578987121582,3,1000
2300,30.707120895385742,3,1000
2400,41.24259948730469,3,1000
2500,41.887521743774414,3,1000
2600,35.039424896240234,3,1000
2700,37.17350959777832,3,1000
2800,40.68636894226074,3,1000
2900,41.001081466674805,3,1000
3000,55.84073066711426,3,1000
3100,55.61661720275879,3,1000
3200,47.60313034057617,3,1000
3300,51.33390426635742,3,1000
3400,46.34284973144531,3,1000
3500,57.962656021118164,3,1000
3600,50.974130630493164,3,1000
3700,54.34226989746094,3,1000
3800,61.28525733947754,3,1000
3900,59.29422378540039,3,1000
4000,90.22927284240723,3,1000
4100,61.9664192199707,3,1000
4200,72.24607467651367,3,1000
4300,75.28471946716309,3,1000
4400,82.4747085571289,3,1000
4500,72.69716262817383,3,1000
4600,73.10891151428223,3,1000
4700,71.25091552734375,3,1000
4800,70.4951286315918,3,1000
4900,73.96578788757324,3,1000
5000,73.7311840057373,3,1000
5100,71.40803337097168,3,1000
5200,81.7718505859375,3,1000
5300,86.23337745666504,3,1000
5400,81.77328109741211,3,1000
5500,82.19408988952637,3,1000
5600,81.86912536621094,3,1000
5700,91.64786338806152,3,1000
5800,92.90456771850586,3,1000
5900,86.87329292297363,3,1000
6000,91.79806709289551,3,1000
6100,101.28188133239746,3,1000
6200,102.08678245544434,3,1000
6300,102.10633277893066,3,1000
6400,102.31471061706543,3,1000
6500,102.90050506591797,3,1000
6600,112.13970184326172,3,1000
6700,110.60070991516113,3,1000
6800,123.69132041931152,3,1000
6900,118.76368522644043,3,1000
7000,131.7770481109619,3,1000
7100,121.95944786071777,3,1000
7200,123.27241897583008,3,1000
7300,132.03120231628418,3,1000
7400,122.16424942016602,3,1000
7500,122.07341194152832,3,1000
7600,132.75814056396484,3,1000
7700,163.7563705444336,3,1000
7800,171.8900203704834,3,1000
7900,138.20123672485352,3,1000
8000,124.88222122192383,3,1000
8100,125.11587142944336,3,1000
8200,140.7320499420166,3,1000
8300,140.48004150390625,3,1000
8400,142.9424285888672,3,1000
8500,154.83951568603516,3,1000
8600,162.84966468811035,3,1000
8700,151.54147148132324,3,1000
8800,142.90761947631836,3,1000
8900,143.93353462219238,3,1000
9000,178.76672744750977,3,1000
9100,163.29216957092285,3,1000
9200,170.83263397216797,3,1000
9300,157.2721004486084,3,1000
9400,167.09089279174805,3,1000
9500,173.0341911315918,3,1000
9600,173.94089698791504,3,1000
9700,162.2786521911621,3,1000
9800,194.0286159515381,3,1000
9900,163.04802894592285,3,1000
10000,162.0168685913086,3,1000
10100,173.54130744934082,3,1000
10200,174.23248291015625,3,1000
10300,172.06692695617676,3,1000
10400,174.60060119628906,3,1000
10500,175.4434108734131,3,1000
10600,233.88385772705078,3,1000
10700,183.81643295288086,3,1000
10800,183.4397315979004,3,1000
10900,191.79630279541016,3,1000
11000,179.23927307128906,3,1000
11100,192.34371185302734,3,1000
11200,194.31471824645996,3,1000
11300,212.46695518493652,3,1000
11400,192.6429271697998,3,1000
11500,193.89700889587402,3,1000
11600,227.11920738220215,3,1000
11700,194.65088844299316,3,1000
11800,203.52792739868164,3,1000
11900,214.6012783050537,3,1000
12000,241.63413047790527,3,1000
12100,203.57203483581543,3,1000
12200,213.9427661895752,3,1000
12300,216.0041332244873,3,1000
12400,211.88640594482422,3,1000
12500,244.53043937683105,3,1000
12600,223.71983528137207,3,1000
12700,243.73936653137207,3,1000
12800,250.71096420288086,3,1000
12900,234.18760299682617,3,1000
13000,223.96421432495117,3,1000
13100,234.14134979248047,3,1000
13200,224.5955467224121,3,1000
13300,240.4005527496338,3,1000
13400,232.35726356506348,3,1000
13500,235.1694107055664,3,1000
13600,243.64304542541504,3,1000
13700,253.39579582214355,3,1000
13800,235.4285717010498,3,1000
13900,263.9775276184082,3,1000
14000,243.4689998626709,3,1000
14100,306.1256408691406,3,1000
14200,286.7999076843262,3,1000
14300,264.68515396118164,3,1000
14400,253.79085540771484,3,1000
14500,261.43884658813477,3,1000
14600,295.5000400543213,3,1000
14700,256.08181953430176,3,1000
14800,267.44890213012695,3,1000
14900,255.68604469299316,3,1000
15000,307.0485591888428,3,1000
15100,269.60253715515137,3,1000
15200,283.2200527191162,3,1000
15300,265.43498039245605,3,1000
15400,276.41987800598145,3,1000
15500,290.8337116241455,3,1000
15600,288.3176803588867,3,1000
15700,282.2847366333008,3,1000
15800,316.15447998046875,3,1000
15900,307.1410655975342,3,1000
16000,275.8209705352783,3,1000
16100,323.5924243927002,3,1000
16200,290.6949520111084,3,1000
16300,294.8620319366455,3,1000
16400,370.7261085510254,3,1000
16500,287.70899772644043,3,1000
16600,323.84777069091797,3,1000
16700,354.41064834594727,3,1000
16800,326.7333507537842,3,1000
16900,313.6165142059326,3,1000
17000,302.335262298584,3,1000
17100,323.6722946166992,3,1000
17200,314.4412040710449,3,1000
17300,320.2230930328369,3,1000
17400,408.81800651550293,3,1000
17500,334.69390869140625,3,1000
17600,337.6610279083252,3,1000
