Array_size,Time,Times_to_run,Element_size_range
100,0.6276000142097473,3,1000
200,0.4212999939918518,3,1000
300,0.504800021648407,3,1000
400,2.482199966907501,3,1000
500,0.809499979019165,3,1000
600,2.4359999895095825,3,1000
700,1.1883000135421753,3,1000
800,0.38920003175735474,3,1000
900,0.34579998254776,3,1000
1000,0.5469000339508057,3,1000
1100,0.672700047492981,3,1000
1200,0.3337000012397766,3,1000
1300,0.36419999599456787,3,1000
1400,1.0108000040054321,3,1000
1500,0.8942999839782715,3,1000
1600,0.5708999633789062,3,1000
1700,0.6586000323295593,3,1000
1800,0.8294000029563904,3,1000
1900,0.6474000215530396,3,1000
2000,0.8780999779701233,3,1000
2100,0.9508000016212463,3,1000
2200,0.7609999775886536,3,1000
2300,0.7904000282287598,3,1000
2400,0.8472999930381775,3,1000
2500,1.079200029373169,3,1000
2600,1.2393999695777893,3,1000
2700,1.3998000025749207,3,1000
2800,1.3001999855041504,3,1000
2900,1.4187999963760376,3,1000
3000,1.3935999870300293,3,1000
3100,1.3934000134468079,3,1000
3200,1.3669999837875366,3,1000
3300,1.2597000002861023,3,1000
3400,1.5353999733924866,3,1000
3500,1.2523000240325928,3,1000
3600,2.670300006866455,3,1000
3700,3.20059996843338,3,1000
3800,2.6506999731063843,3,1000
3900,3.1502000093460083,3,1000
4000,3.2519999742507935,3,1000
4100,2.7634999752044678,3,1000
4200,2.93639999628067,3,1000
4300,3.5121999979019165,3,1000
4400,2.8012999892234802,3,1000
4500,1.9428000450134277,3,1000
4600,1.96670001745224,3,1000
4700,2.3082000017166138,3,1000
4800,2.355300009250641,3,1000
4900,2.3787999749183655,3,1000
5000,2.968400001525879,3,1000
5100,2.8030999898910522,3,1000
5200,3.0383999943733215,3,1000
5300,2.9009000062942505,3,1000
5400,3.500599980354309,3,1000
5500,2.058299958705902,3,1000
5600,2.4670000076293945,3,1000
5700,2.1498000025749207,3,1000
5800,2.662400007247925,3,1000
5900,2.2465999722480774,3,1000
6000,2.5532000064849854,3,1000
6100,2.3407000303268433,3,1000
6200,2.3706000447273254,3,1000
6300,2.3925999999046326,3,1000
6400,2.4725000262260437,3,1000
6500,2.7562000155448914,3,1000
6600,2.495800018310547,3,1000
